resp,link,title
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/Movies/b?ie=UTF8&node=2649512011,Movies
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/tv-dvd-bluray/b?ie=UTF8&node=2649513011,TV Shows
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/amazon-fire-tv-4k-uhd-streaming-media-player/dp/B01N32NCPM,Amazon Fire TV
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/Amazon-Fire-TV-Stick-With-Alexa-Voice-Remote-Streaming-Media-Player/dp/B00ZV9RDKK,Amazon Fire TV Stick
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/Amazon-Fire-7-Tablet-5th-Generation/dp/B00TSUGXKE,Kindle Fire
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/movies-tv-bluray-bluray3d/b?ie=UTF8&node=2901953011,Blu-ray
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/s?ie=UTF8&bbn=2625373011&field-format_browse-bin=2650304011&node=2625373011&page=1,DVD
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/s?ie=UTF8&bbn=2625373011&field-format_browse-bin=9397930011&node=2625373011&page=1,4K Ultra HD
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/Amazon-Video/b?ie=UTF8&node=2858778011,Amazon Video
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/new-releases-dvd-bluray/b?ie=UTF8&node=2921748011,New Releases
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/b?ie=UTF8&node=7353051011,Pre-orders
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/kids-family-dvd-bluray/b?ie=UTF8&node=2650365011,Kids & Family
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/todaysdeals-dvd-bluray/b?ie=UTF8&node=2921749011,Today's Deals
<200 https://www.amazon.com/movies-tv-dvd-bluray/b?ie=UTF8&node=2625373011>,/best-sellers-movies-TV-DVD-Blu-ray/zgbs/movies-tv,Best Sellers
